product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,product_category_name_english
1e9e8ef04dbcff4541ed26657ea517e5,perfumaria,400,2870,10,2250,160,100,140,perfumery
3aa071139cb16b67ca9e5dea641aaa2f,artes,440,2760,10,10000,300,180,200,art
96bd76ec8810374ed1b65e291975717f,esporte_lazer,460,2500,10,1540,180,90,150,sports_leisure
cef67bcfe19066a932b7673e239eb23d,bebes,270,2610,10,3710,260,40,260,baby
9dc1a7de274444849c219cff195d0b71,utilidades_domesticas,370,4020,40,6250,200,170,130,housewares
41d3672d4792049fa1779bb35283ed13,instrumentos_musicais,600,7450,10,2000,380,50,110,musical_instruments
732bd381ad09e530fe0a5f457d81becb,cool_stuff,560,12720,40,183500,700,240,440,cool_stuff
2548af3e6e77a690cf3eb6368e9ab61e,moveis_decoracao,560,1840,20,9000,400,80,400,furniture_decor
37cc742be07708b53a98702e77a21a02,eletrodomesticos,570,1630,10,0,270,130,170,home_appliances
8c92109888e8cdf9d66dc7e463025574,brinquedos,360,11560,10,6000,170,100,120,toys
14aa47b7fe5c25522b47b4b29c98dcb9,cama_mesa_banho,540,6300,10,11000,160,100,160,bed_bath_table
03b63c5fc16691530586ae020c345514,bebes,490,7280,40,71500,500,190,450,baby
cf55509ea8edaaac1d28fdb16e48fc22,instrumentos_musicais,430,18270,30,2500,170,70,170,musical_instruments
7bb6f29c2be57716194f96496660c7c2,moveis_decoracao,510,20830,20,6000,680,110,130,furniture_decor
eb31436580a610f202c859463d8c7415,construcao_ferramentas_seguranca,590,16020,40,2000,170,70,170,construction_tools_safety
3bb7f144022e6732727d8d838a7b13b3,esporte_lazer,220,30210,10,8000,160,20,110,sports_leisure
6a2fb4dd53d2cdb88e0432f1284a004c,perfumaria,390,3460,20,4000,270,50,200,perfumery
a1b71017a84f92fd8da4aeefba108a24,informatica_acessorios,590,6360,10,9000,400,150,200,computers_accessories
a0736b92e52f6cead290e30b578413b6,moveis_decoracao,560,2960,20,17000,1000,70,150,furniture_decor
f53103a77d9cf245e579ea37e5ec51f0,cama_mesa_banho,520,2060,10,5000,160,100,160,bed_bath_table
1c1890ba1779090cd54008a3c3302921,moveis_decoracao,270,1580,40,25500,290,240,450,furniture_decor
518ef5de2c2b3a255e326a4594ba15d9,cama_mesa_banho,270,3290,20,8000,360,80,160,bed_bath_table
e3e020af31d4d89d2602272b315c3f6e,beleza_saude,580,19870,30,750,210,70,130,health_beauty
8b41fbc2b984a12030090112324d1bc4,bebes,550,16270,10,5000,200,130,130,baby
d03bd02af9fff4b98f1c972315e5e9ef,moveis_decoracao,560,2090,10,18000,400,100,300,furniture_decor
8ba4f2a4ae695d26e5626c1bf710975e,utilidades_domesticas,520,9680,10,9000,500,50,500,housewares
f6574524b07d5bb753bab6f35abe2d06,malas_acessorios,520,5730,50,36000,350,250,500,luggage_accessories
c78b767da00efb70c1bcccab87c28cd5,informatica_acessorios,350,11010,20,3000,420,20,300,computers_accessories
a0253d43394dd4da9a5d7b1f546f1a32,informatica_acessorios,590,18900,20,7400,230,130,130,computers_accessories
051b9ff13dd55c0a6655a15ff296f80d,esporte_lazer,500,5290,20,36000,620,230,230,sports_leisure
47859fca9dd7485cbd93c3e8993bb74f,cama_mesa_banho,450,2060,10,6500,160,100,160,bed_bath_table
e1d1d22e9f8122a4ec1533b032c12562,ferramentas_jardim,490,11630,90,21500,700,80,340,garden_tools
20e37962088a4061d3578def47a8648b,moveis_decoracao,600,2080,10,8000,400,100,340,furniture_decor
1eba879220bd0981a0e2fbab499ed4e1,moveis_escritorio,570,4760,10,89500,520,510,170,office_furniture
